project_name,month,actual_hours,actual_revenue,actual_cost
Project 0001,2024-09-01,77.61,6307.18,4249.49
Project 0001,2024-10-01,79.53,6842.82,4646.08
Project 0001,2024-11-01,77.01,5354.57,3243.73
Project 0001,2024-12-01,65.35,5599.52,3755.26
Project 0001,2025-01-01,70.79,6514.1,4196.32
Project 0001,2025-02-01,68.72,6441.36,4382.82
Project 0001,2025-03-01,89.8,7110.76,4767.72
Project 0001,2025-04-01,63.99,6486.36,3940.89
Project 0001,2025-05-01,95.89,5516.27,3182.98
Project 0001,2025-06-01,93.27,5651.93,4175.56
Project 0001,2025-07-01,62.02,7075.77,3893.58
Project 0001,2025-08-01,66.9,6176.72,3419.91
Project 0001,2025-09-01,95.15,6376.05,3919.77
Project 0001,2025-10-01,84.88,6833.02,4101.29
Project 0001,2025-11-01,69.34,6808.17,3910.62
Project 0001,2025-12-01,65.84,6926.33,5190.47
Project 0001,2026-01-01,82.83,5725.38,3620.01
Project 0001,2026-02-01,62.82,5593.06,3772.78
Project 0001,2026-03-01,91.58,7170.67,4636.14
Project 0001,2026-04-01,85.61,7102.72,4935.33
Project 0001,2026-05-01,84.21,6442.21,4581.09
Project 0001,2026-06-01,90.31,6222.59,4159.2
Project 0001,2026-07-01,62.71,5684.68,3539.0
Project 0001,2026-08-01,91.51,6567.65,3779.66
Project 0002,2024-09-01,402.93,31227.59,18116.29
Project 0002,2024-10-01,422.73,31747.6,22076.26
Project 0002,2024-11-01,423.19,31071.38,20851.89
Project 0002,2024-12-01,399.0,26245.62,17660.6
Project 0002,2025-01-01,308.96,29011.33,20344.69
Project 0002,2025-02-01,412.38,23956.42,14737.14
Project 0002,2025-03-01,338.06,24423.0,13640.1
Project 0002,2025-04-01,409.05,30057.99,21565.18
Project 0002,2025-05-01,289.32,24418.9,17403.03
Project 0002,2025-06-01,340.89,32482.88,21107.18
Project 0002,2025-07-01,407.75,26350.61,17891.55
Project 0002,2025-08-01,315.92,26046.93,18968.41
Project 0002,2025-09-01,319.61,23267.97,15377.13
Project 0002,2025-10-01,284.05,24629.87,17562.46
