business_unit,month,revenue_budget,hours_budget,utilization_budget
X Build,2024-09-01,5656613.97,22626.46,0.7523
X Build,2024-10-01,9090823.75,36363.29,0.744
X Build,2024-11-01,8129619.72,32518.48,0.7054
X Build,2024-12-01,6580347.85,26321.39,0.72
X Build,2025-01-01,9630657.71,38522.63,0.795
X Build,2025-02-01,4832444.48,19329.78,0.7482
X Build,2025-03-01,4483550.32,17934.2,0.7896
X Build,2025-04-01,5148193.18,20592.77,0.7965
X Build,2025-05-01,4444135.91,17776.54,0.7688
X Build,2025-06-01,7649207.25,30596.83,0.7401
X Build,2025-07-01,4985249.34,19941.0,0.7389
X Build,2025-08-01,6973070.53,27892.28,0.8163
X Build,2025-09-01,6681651.01,26726.6,0.7227
X Build,2025-10-01,4155317.37,16621.27,0.701
X Build,2025-11-01,6500427.91,26001.71,0.7356
X Build,2025-12-01,4690491.58,18761.97,0.7207
X Build,2026-01-01,6099435.92,24397.74,0.7824
X Build,2026-02-01,7657527.71,30630.11,0.7096
X Build,2026-03-01,4858159.32,19432.64,0.809
X Build,2026-04-01,4426487.52,17705.95,0.7239
X Build,2026-05-01,5907653.08,23630.61,0.7276
X Build,2026-06-01,5745030.02,22980.12,0.7873
X Build,2026-07-01,4570078.84,18280.32,0.7423
X Build,2026-08-01,7670375.74,30681.5,0.7059
X Design,2024-09-01,4265768.06,17063.07,0.7598
X Design,2024-10-01,9398947.29,37595.79,0.7534
X Design,2024-11-01,6439867.96,25759.47,0.7012
X Design,2024-12-01,8396268.3,33585.07,0.7197
X Design,2025-01-01,8190961.9,32763.85,0.7418
X Design,2025-02-01,4269931.13,17079.72,0.7393
X Design,2025-03-01,7957362.02,31829.45,0.7922
X Design,2025-04-01,7813264.61,31253.06,0.7853
X Design,2025-05-01,5415484.74,21661.94,0.8158
X Design,2025-06-01,5361462.98,21445.85,0.7204
X Design,2025-07-01,5498870.46,21995.48,0.8166
X Design,2025-08-01,4389721.73,17558.89,0.7928
X Design,2025-09-01,4631719.02,18526.88,0.7928
X Design,2025-10-01,5662144.29,22648.58,0.7872
X Design,2025-11-01,4294003.59,17176.01,0.7402
X Design,2025-12-01,6787746.9,27150.99,0.7025
X Design,2026-01-01,5085090.08,20340.36,0.7203
X Design,2026-02-01,6888410.27,27553.64,0.716
X Design,2026-03-01,9863019.89,39452.08,0.8064
X Design,2026-04-01,5346017.68,21384.07,0.7281
X Design,2026-05-01,9684564.95,38738.26,0.7359
X Design,2026-06-01,6539733.45,26158.93,0.7842
X Design,2026-07-01,6064219.68,24256.88,0.8083
X Design,2026-08-01,7534217.38,30136.87,0.7681
Digital Ventures,2024-09-01,7325772.64,29303.09,0.7134
Digital Ventures,2024-10-01,8742651.2,34970.6,0.7687
Digital Ventures,2024-11-01,4321115.05,17284.46,0.802
Digital Ventures,2024-12-01,8376748.96,33507.0,0.7347
Digital Ventures,2025-01-01,5716235.62,22864.94,0.7606
Digital Ventures,2025-02-01,4043390.81,16173.56,0.7972
Digital Ventures,2025-03-01,9652272.88,38609.09,0.7536
Digital Ventures,2025-04-01,7219444.75,28877.78,0.7972
Digital Ventures,2025-05-01,5665593.79,22662.38,0.759
Digital Ventures,2025-06-01,4665964.32,18663.86,0.7842
Digital Ventures,2025-07-01,8757129.88,35028.52,0.708
Digital Ventures,2025-08-01,9294517.0,37178.07,0.7449
Digital Ventures,2025-09-01,9533239.68,38132.96,0.808
Digital Ventures,2025-10-01,8745398.15,34981.59,0.7996
Digital Ventures,2025-11-01,5736240.41,22944.96,0.7441
Digital Ventures,2025-12-01,5440368.4,21761.47,0.7425
Digital Ventures,2026-01-01,7371430.95,29485.72,0.8037
Digital Ventures,2026-02-01,7283100.42,29132.4,0.7836
Digital Ventures,2026-03-01,4814743.95,19258.98,0.8127
Digital Ventures,2026-04-01,7499062.66,29996.25,0.7931
Digital Ventures,2026-05-01,9991395.52,39965.58,0.8032
Digital Ventures,2026-06-01,7026212.65,28104.85,0.8042
Digital Ventures,2026-07-01,7953553.26,31814.21,0.7876
Digital Ventures,2026-08-01,7823768.8,31295.08,0.7345
