project_name,snapshot_date,stage,probability,expected_close_date,pipeline_value
Project 0001,2026-08-24,Qualified,0.35,2027-02-17,265000
Project 0001,2026-07-24,Qualified,0.35,2027-02-17,265000
Project 0001,2026-06-24,Qualified,0.35,2027-02-17,265000
Project 0001,2026-05-24,Qualified,0.35,2027-02-17,265000
Project 0001,2026-04-24,Qualified,0.35,2027-02-17,265000
Project 0001,2026-03-24,Qualified,0.35,2027-02-17,265000
Project 0002,2026-08-24,Qualified,0.35,2026-11-04,1156500
Project 0002,2026-07-24,Qualified,0.35,2026-11-04,1156500
Project 0002,2026-06-24,Qualified,0.35,2026-11-04,1156500
Project 0002,2026-05-24,Qualified,0.35,2026-11-04,1156500
Project 0002,2026-04-24,Qualified,0.35,2026-11-04,1156500
Project 0002,2026-03-24,Qualified,0.35,2026-11-04,1156500
Project 0003,2026-08-24,Prospect,0.15,2026-06-25,290700
Project 0003,2026-07-24,Prospect,0.15,2026-06-25,290700
Project 0003,2026-06-24,Prospect,0.15,2026-06-25,290700
Project 0003,2026-05-24,Prospect,0.15,2026-06-25,290700
Project 0003,2026-04-24,Prospect,0.15,2026-06-25,290700
Project 0003,2026-03-24,Prospect,0.15,2026-06-25,290700
Project 0004,2026-08-24,In Delivery,0.75,2026-10-06,1434000
Project 0004,2026-07-24,In Delivery,0.75,2026-10-06,1434000
Project 0004,2026-06-24,In Delivery,0.75,2026-10-06,1434000
Project 0004,2026-05-24,In Delivery,0.75,2026-10-06,1434000
Project 0004,2026-04-24,In Delivery,0.75,2026-10-06,1434000
Project 0004,2026-03-24,In Delivery,0.75,2026-10-06,1434000
Project 0005,2026-08-24,In Delivery,0.75,2026-01-08,551600
Project 0005,2026-07-24,In Delivery,0.75,2026-01-08,551600
Project 0005,2026-06-24,In Delivery,0.75,2026-01-08,551600
Project 0005,2026-05-24,In Delivery,0.75,2026-01-08,551600
Project 0005,2026-04-24,In Delivery,0.75,2026-01-08,551600
Project 0005,2026-03-24,In Delivery,0.75,2026-01-08,551600
Project 0006,2026-08-24,In Delivery,0.75,2025-06-02,1173600
Project 0006,2026-07-24,In Delivery,0.75,2025-06-02,1173600
Project 0006,2026-06-24,In Delivery,0.75,2025-06-02,1173600
Project 0006,2026-05-24,In Delivery,0.75,2025-06-02,1173600
Project 0006,2026-04-24,In Delivery,0.75,2025-06-02,1173600
Project 0006,2026-03-24,In Delivery,0.75,2025-06-02,1173600
Project 0007,2026-08-24,Prospect,0.15,2027-02-07,1431500
Project 0007,2026-07-24,Prospect,0.15,2027-02-07,1431500
Project 0007,2026-06-24,Prospect,0.15,2027-02-07,1431500
Project 0007,2026-05-24,Prospect,0.15,2027-02-07,1431500
Project 0007,2026-04-24,Prospect,0.15,2027-02-07,1431500
Project 0007,2026-03-24,Prospect,0.15,2027-02-07,1431500
Project 0008,2026-08-24,Closed Lost,0.0,2026-01-03,88200
Project 0008,2026-07-24,Closed Lost,0.0,2026-01-03,88200
Project 0008,2026-06-24,Closed Lost,0.0,2026-01-03,88200
Project 0008,2026-05-24,Closed Lost,0.0,2026-01-03,88200
Project 0008,2026-04-24,Closed Lost,0.0,2026-01-03,88200
Project 0008,2026-03-24,Closed Lost,0.0,2026-01-03,88200
Project 0009,2026-08-24,In Delivery,0.75,2026-06-20,689000
Project 0009,2026-07-24,In Delivery,0.75,2026-06-20,689000
Project 0009,2026-06-24,In Delivery,0.75,2026-06-20,689000
Project 0009,2026-05-24,In Delivery,0.75,2026-06-20,689000
Project 0009,2026-04-24,In Delivery,0.75,2026-06-20,689000
Project 0009,2026-03-24,In Delivery,0.75,2026-06-20,689000
Project 0010,2026-08-24,In Delivery,0.75,2025-11-21,1309200
Project 0010,2026-07-24,In Delivery,0.75,2025-11-21,1309200
Project 0010,2026-06-24,In Delivery,0.75,2025-11-21,1309200
Project 0010,2026-05-24,In Delivery,0.75,2025-11-21,1309200
Project 0010,2026-04-24,In Delivery,0.75,2025-11-21,1309200
Project 0010,2026-03-24,In Delivery,0.75,2025-11-21,1309200
Project 0011,2026-08-24,Prospect,0.15,2026-10-24,72200
Project 0011,2026-07-24,Prospect,0.15,2026-10-24,72200
Project 0011,2026-06-24,Prospect,0.15,2026-10-24,72200
Project 0011,2026-05-24,Prospect,0.15,2026-10-24,72200
Project 0011,2026-04-24,Prospect,0.15,2026-10-24,72200
Project 0011,2026-03-24,Prospect,0.15,2026-10-24,72200
Project 0012,2026-08-24,Prospect,0.15,2026-08-01,486400
Project 0012,2026-07-24,Prospect,0.15,2026-08-01,486400
Project 0012,2026-06-24,Prospect,0.15,2026-08-01,486400
Project 0012,2026-05-24,Prospect,0.15,2026-08-01,486400
Project 0012,2026-04-24,Prospect,0.15,2026-08-01,486400
Project 0012,2026-03-24,Prospect,0.15,2026-08-01,486400
Project 0013,2026-08-24,Qualified,0.35,2026-11-27,255200
Project 0013,2026-07-24,Qualified,0.35,2026-11-27,255200
Project 0013,2026-06-24,Qualified,0.35,2026-11-27,255200
Project 0013,2026-05-24,Qualified,0.35,2026-11-27,255200
Project 0013,2026-04-24,Qualified,0.35,2026-11-27,255200
Project 0013,2026-03-24,Qualified,0.35,2026-11-27,255200
Project 0014,2026-08-24,Prospect,0.15,2026-08-28,791700
Project 0014,2026-07-24,Prospect,0.15,2026-08-28,791700
Project 0014,2026-06-24,Prospect,0.15,2026-08-28,791700
Project 0014,2026-05-24,Prospect,0.15,2026-08-28,791700
