project_name,client_name,business_unit,stage,status,start_date,end_date,contract_value,billing_rate,planned_hours
Project 0001,Client 021,Digital Ventures,Qualified,Active,2026-06-14,2027-02-17,265000,250,1060
Project 0002,Client 024,Digital Ventures,Qualified,Active,2026-05-29,2026-11-04,1156500,250,4626
Project 0003,Client 002,X Build,Prospect,Active,2025-07-07,2026-06-25,290700,300,969
Project 0004,Client 089,X Build,In Delivery,Active,2025-12-15,2026-10-06,1434000,400,3585
Project 0005,Client 080,Digital Ventures,In Delivery,Active,2025-05-06,2026-01-08,551600,200,2758
Project 0006,Client 064,X Build,In Delivery,Active,2025-02-08,2025-06-02,1173600,400,2934
Project 0007,Client 004,X Build,Prospect,Active,2026-03-11,2027-02-07,1431500,350,4090
Project 0008,Client 002,Digital Ventures,Closed Lost,Active,2025-09-13,2026-01-03,88200,200,441
Project 0009,Client 036,X Design,In Delivery,Active,2026-01-31,2026-06-20,689000,250,2756
Project 0010,Client 004,X Design,In Delivery,Active,2025-07-31,2025-11-21,1309200,400,3273
Project 0011,Client 072,X Design,Prospect,Active,2025-11-28,2026-10-24,72200,200,361
Project 0012,Client 080,X Build,Prospect,Active,2025-11-02,2026-08-01,486400,400,1216
Project 0013,Client 060,X Build,Qualified,Active,2026-01-20,2026-11-27,255200,200,1276
Project 0014,Client 088,X Build,Prospect,Active,2026-06-21,2026-08-28,791700,350,2262
Project 0015,Client 008,Digital Ventures,Prospect,Active,2025-04-13,2025-08-31,423750,250,1695
Project 0016,Client 041,Digital Ventures,Closed Won,Completed,2025-04-22,2026-02-06,1635900,350,4674
Project 0017,Client 086,Digital Ventures,Closed Won,Completed,2026-05-18,2027-01-04,1321600,400,3304
Project 0018,Client 014,Digital Ventures,In Delivery,Active,2026-08-20,2027-05-24,433500,150,2890
Project 0019,Client 063,Digital Ventures,Prospect,Active,2025-02-17,2025-10-13,81200,200,406
Project 0020,Client 015,Digital Ventures,In Delivery,Active,2025-04-27,2026-02-11,1317300,300,4391
Project 0021,Client 066,X Design,Qualified,Active,2026-05-31,2027-05-09,480500,250,1922
Project 0022,Client 044,X Design,Closed Won,Completed,2026-07-28,2027-01-11,1304000,400,3260
Project 0023,Client 062,X Build,Closed Won,Completed,2025-09-11,2026-06-28,372600,200,1863
Project 0024,Client 077,X Build,Qualified,Active,2024-11-30,2025-05-24,602400,400,1506
Project 0025,Client 097,Digital Ventures,Qualified,Active,2024-11-14,2025-06-26,227250,250,909
Project 0026,Client 096,X Build,Qualified,Active,2025-08-16,2026-03-23,215750,250,863
Project 0027,Client 012,X Design,Qualified,Active,2025-06-09,2025-09-28,307950,150,2053
Project 0028,Client 002,X Design,In Delivery,Active,2026-06-05,2027-02-06,275400,150,1836
Project 0029,Client 002,X Build,Qualified,Active,2026-01-12,2026-07-16,368900,350,1054
Project 0030,Client 056,Digital Ventures,In Delivery,Active,2025-06-12,2026-03-01,579900,300,1933
Project 0031,Client 086,Digital Ventures,Qualified,Active,2024-12-23,2025-09-06,1606150,350,4589
Project 0032,Client 070,X Build,Closed Won,Completed,2026-04-23,2026-12-25,121200,150,808
Project 0033,Client 020,Digital Ventures,Closed Won,Completed,2025-07-18,2026-02-09,752750,250,3011
Project 0034,Client 092,X Build,Prospect,Active,2024-11-22,2025-10-14,635200,200,3176
Project 0035,Client 016,X Design,Prospect,Active,2024-12-22,2025-11-09,852200,200,4261
Project 0036,Client 012,X Build,Closed Lost,Active,2026-08-23,2027-07-02,576450,150,3843
Project 0037,Client 019,Digital Ventures,Closed Won,Completed,2026-01-04,2026-06-11,643500,150,4290
Project 0038,Client 072,X Design,Closed Won,Completed,2024-12-05,2025-04-18,508650,150,3391
Project 0039,Client 025,X Build,In Delivery,Active,2026-05-05,2026-10-10,113250,250,453
Project 0040,Client 061,X Build,Qualified,Active,2026-03-15,2026-12-07,926600,200,4633
Project 0041,Client 067,X Build,Prospect,Active,2025-04-08,2025-10-19,1642550,350,4693
Project 0042,Client 030,X Design,Qualified,Active,2025-05-12,2025-08-01,880500,300,2935
Project 0043,Client 098,X Build,Closed Lost,Active,2025-11-15,2026-02-09,304800,400,762
Project 0044,Client 004,Digital Ventures,In Delivery,Active,2025-05-29,2025-12-21,173850,150,1159
Project 0045,Client 093,X Design,Closed Won,Completed,2026-01-17,2026-08-22,64800,300,216
Project 0046,Client 095,Digital Ventures,Closed Won,Completed,2025-04-15,2025-12-11,441000,350,1260
Project 0047,Client 067,X Design,Closed Lost,Active,2026-03-17,2027-01-26,468650,350,1339
Project 0048,Client 032,Digital Ventures,In Delivery,Active,2024-10-08,2025-09-12,192250,250,769
Project 0049,Client 033,X Build,Closed Lost,Active,2025-04-22,2026-03-20,802250,250,3209
Project 0050,Client 060,X Design,Closed Won,Completed,2025-07-13,2025-09-23,601200,200,3006
