project_name,business_unit,client_name,stage,start_date,billable_hours,bill_rate_per_hour,utilization_percent,win_probability
Project 000,X Build,Client C,Prospect,2026-03-15,435,150.0,96,0.5549889027336528
Project 001,X Design,Client C,Closed Won,2025-12-10,1882,300.0,74,0.6523920895983998
Project 002,X Build,Client A,Closed Won,2025-10-04,357,200.0,51,0.7832763800405557
Project 003,X Build,Client C,In Delivery,2026-04-17,596,150.0,59,0.32751849788876924
Project 004,X Build,Client A,Qualified,2026-08-05,995,200.0,79,0.8595872792363297
Project 005,X Design,Client B,Closed Won,2025-11-15,259,250.0,99,0.7395302726436355
Project 006,X Build,Client C,Prospect,2026-01-12,1598,200.0,94,0.3572313223642103
Project 007,X Build,Client B,In Delivery,2026-06-30,951,200.0,54,0.9115050368747439
Project 008,X Build,Client A,Closed Won,2026-06-26,1787,150.0,82,0.9446106803722691
Project 009,X Design,Client C,Prospect,2025-10-04,789,150.0,50,0.34275457189840464
Project 010,X Build,Client A,Prospect,2025-08-28,1798,150.0,67,0.4938143537030426
Project 011,X Build,Client B,Qualified,2026-03-02,479,200.0,81,0.8643408958551428
Project 012,X Build,Client A,In Delivery,2025-11-16,1668,250.0,96,0.8237817832685608
Project 013,X Build,Client C,In Delivery,2026-05-01,1056,300.0,98,0.4291647135494641
Project 014,X Design,Client C,Qualified,2025-11-08,790,300.0,60,0.4465445263356972
Project 015,X Build,Client B,Qualified,2025-09-15,1550,150.0,70,0.5593304719539673
Project 016,X Design,Client A,In Delivery,2026-03-25,1736,150.0,75,0.6391660896337149
Project 017,X Design,Client C,In Delivery,2026-04-18,1391,200.0,74,0.7327783400712071
Project 018,X Design,Client B,Closed Won,2026-03-21,1958,300.0,71,0.5582395476988407
Project 019,X Build,Client C,Closed Won,2025-11-23,1700,150.0,76,0.6237743012932035
Project 020,X Design,Client C,Qualified,2026-05-11,1540,250.0,98,0.8232296566936295
Project 021,X Build,Client A,Closed Won,2025-10-28,1291,250.0,62,0.3256782420234185
Project 022,X Design,Client C,Prospect,2025-12-20,1965,150.0,82,0.47670586104081447
Project 023,X Design,Client A,Closed Won,2026-02-28,1166,150.0,83,0.7993447101191866
Project 024,X Design,Client C,Closed Won,2026-07-15,1679,300.0,90,0.9266447863810394
Project 025,X Design,Client B,Prospect,2026-03-06,384,300.0,84,0.6581742094809663
Project 026,X Design,Client C,Qualified,2025-12-19,496,200.0,50,0.672479439685721
Project 027,X Design,Client A,Prospect,2026-07-28,111,300.0,70,0.3750204079378432
